Status,Family size,AMI,Gender,Monthly Rent,Back Rent Claimed,zip,0,1,,,,,,1
Closed Ineligible,2,30,Male,"$1,500.00 ","$12,400.00 ",91321,0,1500,,,,,,1
Application on Hold,2,30,Female,"$1,500.00 ","$12,299.00 ",91343,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,200.00 ",91405,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,000.00 ",91402,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,000.00 ",91316,0,1500,,,,,,1
Tenant Application Received,3,30,Male,"$1,500.00 ","$12,000.00 ",90006,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,000.00 ",90003,0,1500,,,,,,1
Tenant Application Received,2,30,Male,"$1,500.00 ","$12,000.00 ",90007,0,1500,,,,,,1
Tenant Application Received,6,30,Female,"$1,500.00 ","$12,000.00 ",91331,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$12,000.00 ",91343,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,500.00 ","$12,000.00 ",90029,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$12,000.00 ",91405,0,1500,,,,,,1
Tenant Pending Initial Submission of Documents,1,30,Trans Male,"$1,500.00 ","$12,000.00 ",90045,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$12,000.00 ",90047,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$12,000.00 ",90033,0,1500,,,,,,1
Tenant Eligibility Under Review,1,30,Male,"$1,500.00 ","$12,000.00 ",90011,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$12,000.00 ",91331,0,1500,,,,,,1
Tenant Application Received,5,30,Male,"$1,500.00 ","$12,000.00 ",91335,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$12,000.00 ",90045,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$12,000.00 ",90043,0,1500,,,,,,1
Tenant Application Received,3,30,Male,"$1,500.00 ","$12,000.00 ",90029,0,1500,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Female,"$1,500.00 ","$12,000.00 ",91606,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,000.00 ",91605,0,1500,,,,,,1
Tenant Application Received,4,30,Female,"$1,500.00 ","$12,000.00 ",90731,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$12,000.00 ",91103,0,1500,,,,,,1
Tenant Application Received,4,30,Male,"$1,500.00 ","$12,000.00 ",91364,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$12,000.00 ",90019,0,1500,,,,,,1
Manager Approval Required,5,30,Female,"$1,500.00 ","$12,000.00 ",90027,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$12,000.00 ",90043,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$12,000.00 ",90007,0,1500,,,,,,1
Tenant Application Received,4,30,Female,"$1,500.00 ","$12,000.00 ",91607,0,1500,,,,,,1
Closed Ineligible,5,30,Female,"$1,500.00 ","$12,000.00 ",90262,0,1500,,,,,,1
Application on Hold,6,30,Female,"$1,500.00 ","$12,000.00 ",90063,0,1500,,,,,,1
Closed Ineligible,1,30,Female,"$1,500.00 ","$12,000.00 ",90001,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$12,000.00 ",90044,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$12,000.00 ",91304,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,000.00 ",90057,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,000.00 ",90018,0,1500,,,,,,1
Tenant Application Received,4,30,Female,"$1,500.00 ","$12,000.00 ",90008,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$12,000.00 ",90003,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$12,000.00 ",90041,0,1500,,,,,,1
Tenant Pending Initial Submission of Documents,1,30,Male,"$1,500.00 ","$12,000.00 ",90006,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$12,000.00 ",91405,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$12,000.00 ",90016,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,000.00 ",90061,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,000.00 ",91405,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$12,000.00 ",90047,0,1500,,,,,,1
Landlord Application Submitted Pending Tenant,, ,,"$1,500.00 ","$12,000.00 ",,0,1500,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Female,"$1,500.00 ","$12,000.00 ",90003,0,1500,,,,,,1
Tenant Application Received,1,50,Male,"$1,500.00 ","$12,000.00 ",90033,0,1500,,,,,,1
Tenant Application Received,3,80,Female,"$1,500.00 ","$11,900.00 ",91042,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$11,900.00 ",91406,0,1500,,,,,,1
Closed Ineligible,2,30,Female,"$1,500.00 ","$11,800.00 ",90723,0,1500,,,,,,1
Tenant Application Received,4,30,Male,"$1,500.00 ","$11,600.00 ",90001,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$11,500.00 ",90037,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$11,400.00 ",91342,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$11,250.00 ",91602,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$11,200.00 ",91367,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$11,200.00 ",90018,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$11,200.00 ",91367,0,1500,,,,,,1
Tenant Application Received,4,30,Male,"$1,500.00 ","$11,186.00 ",91304,0,1500,,,,,,1
Tenant Application Received,5,30,Female,"$1,500.00 ","$11,150.00 ",90005,0,1500,,,,,,1
Application on Hold,2,30,Female,"$1,500.00 ","$11,050.00 ",90013,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$11,025.00 ",90016,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$11,000.00 ",90046,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$11,000.00 ",90002,0,1500,,,,,,1
Closed Ineligible,2,30,Female,"$1,500.00 ","$10,850.00 ",90043,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,850.00 ",90016,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$10,800.00 ",90047,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$10,675.00 ",90047,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$10,675.00 ",91342,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$10,600.00 ",90005,0,1500,,,,,,1
Tenant Application Received,7,30,Female,"$1,500.00 ","$10,536.98 ",91402,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$10,500.00 ",90038,0,1500,,,,,,1
Tenant Application Received,5,30,Female,"$1,500.00 ","$10,500.00 ",90043,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",90003,0,1500,,,,,,1
Tenant Application Received,2,30,Male,"$1,500.00 ","$10,500.00 ",90043,0,1500,,,,,,1
Tenant Application Received,4,30,Female,"$1,500.00 ","$10,500.00 ",90003,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",90057,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,500.00 ",91326,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$10,500.00 ",91324,0,1500,,,,,,1
Tenant Application Received,5,30,Male,"$1,500.00 ","$10,500.00 ",90003,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",90044,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",90036,0,1500,,,,,,1
Tenant Application Received,4,30,Female,"$1,500.00 ","$10,500.00 ",90043,0,1500,,,,,,1
Tenant Application Received,2,30,Male,"$1,500.00 ","$10,500.00 ",90018,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$10,500.00 ",91405,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$10,500.00 ",90026,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$10,500.00 ",90059,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$10,500.00 ",90006,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",90002,0,1500,,,,,,1
Application on Hold,1,30,Male,"$1,500.00 ","$10,500.00 ",90014,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$10,500.00 ",90043,0,1500,,,,,,1
Tenant Application Received,1,30,Gender Non-Confirming,"$1,500.00 ","$10,500.00 ",91364,0,1500,,,,,,1
Tenant Application Received,1,50,I prefer not to answer,"$1,500.00 ","$10,500.00 ",90047,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",91352,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,500.00 ",91344,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$10,500.00 ",90037,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$10,500.00 ",90047,0,1500,,,,,,1
Closed Ineligible,1,30,Female,"$1,500.00 ","$10,500.00 ",90006,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$10,500.00 ",90011,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,500.00 ",90044,0,1500,,,,,,1
Tenant Pending Initial Submission of Documents,1,30,Female,"$1,500.00 ","$10,500.00 ",90026,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",91342,0,1500,,,,,,1
Closed Ineligible,4,30,Male,"$1,500.00 ","$10,500.00 ",90044,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,500.00 ",90020,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",91411,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",91411,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$10,500.00 ",90002,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,500.00 ",90731,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",90019,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,500.00 ",90037,0,1500,,,,,,1
Closed Ineligible,6,30,Female,"$1,500.00 ","$10,500.00 ",91367,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",91352,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$10,500.00 ",91344,0,1500,,,,,,1
Tenant Application Received,2,50,Female,"$1,500.00 ","$10,500.00 ",90047,0,1500,,,,,,1
Tenant Application Received,3,30,Female,"$1,500.00 ","$10,500.00 ",91331,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,500.00 ",91306,0,1500,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,4,30,Female,"$1,500.00 ","$10,500.00 ",91306,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,500.00 ",90011,0,1500,,,,,,1
Tenant Pending Initial Submission of Documents,2,30,Female,"$1,500.00 ","$10,500.00 ",90006,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$10,500.00 ",90006,0,1500,,,,,,1
Tenant Eligibility Under Review,1,30,Male,"$1,500.00 ","$10,500.00 ",91311,0,1500,,,,,,1
Tenant Eligibility Under Review,2,30,Female,"$1,500.00 ","$10,500.00 ",90047,0,1500,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Male,"$1,500.00 ","$10,500.00 ",90019,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$10,400.00 ",90043,0,1500,,,,,,1
Tenant Application Received,5,30,Male,"$1,500.00 ","$10,300.00 ",91306,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,200.00 ",91325,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,150.00 ",91303,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,118.00 ",90004,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$10,000.00 ",90002,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$10,000.00 ",90044,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$10,000.00 ",90047,0,1500,,,,,,1
Tenant Application Received,5,30,Female,"$1,500.00 ","$10,000.00 ",91605,0,1500,,,,,,1
Tenant Application Received,1,50,Female,"$1,500.00 ","$9,855.00 ",90029,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$9,800.00 ",91352,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,750.00 ",91401,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$9,750.00 ",90018,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$9,750.00 ",90710,0,1500,,,,,,1
Closed Ineligible,1,50,Male,"$1,500.00 ","$9,600.00 ",90001,0,1500,,,,,,1
Tenant Application Received,2,30,Female,"$1,500.00 ","$9,600.00 ",90011,0,1500,,,,,,1
Closed Ineligible,1,30,Female,"$1,500.00 ","$9,600.00 ",90056,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,523.00 ",90016,0,1500,,,,,,1
Closed Ineligible,3,30,Female,"$1,500.00 ","$9,500.00 ",90746,0,1500,,,,,,1
Closed Ineligible,4,30,Female,"$1,500.00 ","$9,500.00 ",90001,0,1500,,,,,,1
Closed Ineligible,3,30,Male,"$1,500.00 ","$9,450.00 ",90601,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$9,400.00 ",90003,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$9,305.00 ",90068,0,1500,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,2,30,Female,"$1,500.00 ","$9,300.00 ",91605,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,I prefer not to answer,"$1,500.00 ","$9,150.00 ",90018,0,1500,,,,,,1
Closed Ineligible,4,30,Female,"$1,500.00 ","$9,100.00 ",91601,0,1500,,,,,,1
Application on Hold,3,30,Male,"$1,500.00 ","$9,021.66 ",90020,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90028,0,1500,,,,,,1
Closed Ineligible,3,30,Female,"$1,500.00 ","$9,000.00 ",90280,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90018,0,1500,,,,,,1
Application on Hold,3,30,Female,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Closed Ineligible,2,30,Male,"$1,500.00 ","$9,000.00 ",90504,0,1500,,,,,,1
Closed Ineligible,4,30,Female,"$1,500.00 ","$9,000.00 ",91803,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Female,"$1,500.00 ","$9,000.00 ",90047,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$9,000.00 ",90220,0,1500,,,,,,1
Application on Hold,1,30,Female,"$1,500.00 ","$9,000.00 ",91331,0,1500,,,,,,1
Application on Hold,1,30,Female,"$1,500.00 ","$9,000.00 ",91352,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$9,000.00 ",91335,0,1500,,,,,,1
Tenant Approved: Landlord Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",90041,0,1500,,,,,,1
Closed Ineligible,1,30,Female,"$1,500.00 ","$9,000.00 ",93552,0,1500,,,,,,1
Tenant Application Received,1,50,Male,"$1,500.00 ","$9,000.00 ",91402,0,1500,,,,,,1
Tenant Approved: Landlord Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90027,0,1500,,,,,,1
Application on Hold,1,30,Male,"$1,500.00 ","$9,000.00 ",90016,0,1500,,,,,,1
Application on Hold,1,30,Gender Non-Confirming,"$1,500.00 ","$9,000.00 ",91306,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$9,000.00 ",90011,0,1500,,,,,,1
Closed Ineligible,1,30,Female,"$1,500.00 ","$9,000.00 ",90066,0,1500,,,,,,1
Closed Ineligible,3,30,Female,"$1,500.00 ","$9,000.00 ",91201,0,1500,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,2,30,Female,"$1,500.00 ","$9,000.00 ",90744,0,1500,,,,,,1
Application on Hold,1,30,Female,"$1,500.00 ","$9,000.00 ",90034,0,1500,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Male,"$1,500.00 ","$9,000.00 ",90062,0,1500,,,,,,1
Application on Hold,1,30,Male,"$1,500.00 ","$9,000.00 ",91406,0,1500,,,,,,1
Closed Ineligible,1,30,Female,"$1,500.00 ","$9,000.00 ",92377,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,500.00 ","$9,000.00 ",90042,0,1500,,,,,,1
Tenant Application Received,1,30,Female,"$1,500.00 ","$9,000.00 ",90004,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",90501,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$9,000.00 ",90023,0,1500,,,,,,1
Tenant Eligibility Under Review,1,30,Female,"$1,500.00 ","$9,000.00 ",90047,0,1500,,,,,,1
Application on Hold,1,30,Female,"$1,500.00 ","$9,000.00 ",90047,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$9,000.00 ",90303,0,1500,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Female,"$1,500.00 ","$9,000.00 ",91352,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Application on Hold,2,30,Male,"$1,500.00 ","$9,000.00 ",90043,0,1500,,,,,,1
Closed Ineligible,3,30,Female,"$1,500.00 ","$9,000.00 ",90001,0,1500,,,,,,1
Application on Hold,4,30,Female,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Closed Ineligible,1, ,Male,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90016,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,500.00 ","$9,000.00 ",90043,0,1500,,,,,,1
Tenant Approved: Tenant & Landlord Under Review,3,30,Female,"$1,500.00 ","$9,000.00 ",91335,0,1500,,,,,,1
Closed Ineligible,1,30,Female,"$1,500.00 ","$9,000.00 ",90250,0,1500,,,,,,1
Closed Ineligible,1,30,Female,"$1,500.00 ","$9,000.00 ",90220,0,1500,,,,,,1
Manager Approval Required,1,30,Male,"$1,500.00 ","$9,000.00 ",90037,0,1500,,,,,,1
Application on Hold,2,30,Female,"$1,500.00 ","$9,000.00 ",91352,0,1500,,,,,,1
Tenant Eligibility Under Review,1,30,Male,"$1,500.00 ","$9,000.00 ",91356,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,4,30,Male,"$1,500.00 ","$9,000.00 ",90032,0,1500,,,,,,1
Closed Ineligible,4,30,Female,"$1,500.00 ","$9,000.00 ",90304,0,1500,,,,,,1
Closed Ineligible,2,30,Female,"$1,500.00 ","$9,000.00 ",90001,0,1500,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,2,30,Female,"$1,500.00 ","$9,000.00 ",90042,0,1500,,,,,,1
Closed Ineligible,1,50,Female,"$1,500.00 ","$9,000.00 ",90022,0,1500,,,,,,1
Tenant Approved: Closed Landlord Paid,4,30,Male,"$1,500.00 ","$9,000.00 ",90011,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,500.00 ","$9,000.00 ",90003,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,4,30,Female,"$1,500.00 ","$9,000.00 ",90011,0,1500,,,,,,1
Tenant Application Received,4,50,Male,"$1,500.00 ","$9,000.00 ",90038,0,1500,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,3,30,Male,"$1,500.00 ","$9,000.00 ",90023,0,1500,,,,,,1
Application on Hold,1,30,Male,"$1,500.00 ","$9,000.00 ",91335,0,1500,,,,,,1
Closed Ineligible,3,50,Male,"$1,500.00 ","$9,000.00 ",90001,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Male,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",90019,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$9,000.00 ",90018,0,1500,,,,,,1
Closed Ineligible,1,50,Male,"$1,500.00 ","$9,000.00 ",90043,0,1500,,,,,,1
Manager Approval Required,1,30,Male,"$1,500.00 ","$9,000.00 ",90062,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$9,000.00 ",90255,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,500.00 ","$9,000.00 ",90003,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90006,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",91335,0,1500,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90028,0,1500,,,,,,1
Application on Hold,2,30,Female,"$1,500.00 ","$9,000.00 ",90031,0,1500,,,,,,1
Application on Hold,1,30,Male,"$1,500.00 ","$9,000.00 ",90018,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",90045,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",90043,0,1500,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,2,30,Male,"$1,500.00 ","$9,000.00 ",91423,0,1500,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Female,"$1,500.00 ","$9,000.00 ",90043,0,1500,,,,,,1
Application on Hold,3,30,Female,"$1,500.00 ","$9,000.00 ",90032,0,1500,,,,,,1
Application on Hold,1,30,Female,"$1,500.00 ","$9,000.00 ",91403,0,1500,,,,,,1
Application on Hold,2,30,Male,"$1,500.00 ","$9,000.00 ",91356,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,500.00 ","$9,000.00 ",91342,0,1500,,,,,,1
Application on Hold,1,50,Female,"$1,500.00 ","$9,000.00 ",90062,0,1500,,,,,,1
Application on Hold,1,30,Male,"$1,500.00 ","$9,000.00 ",90744,0,1500,,,,,,1
Manager Approval Required,1,30,Male,"$1,500.00 ","$9,000.00 ",90037,0,1500,,,,,,1
Application on Hold,2,30,Male,"$1,500.00 ","$9,000.00 ",90068,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,4,30,Female,"$1,500.00 ","$9,000.00 ",91335,0,1500,,,,,,1
Closed Ineligible,5,30,Male,"$1,500.00 ","$9,000.00 ",90063,0,1500,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,5,30,Female,"$1,500.00 ","$9,000.00 ",91304,0,1500,,,,,,1
Closed Ineligible,4,30,Male,"$1,500.00 ","$9,000.00 ",90001,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,5,30,Male,"$1,500.00 ","$9,000.00 ",90011,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90047,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90047,0,1500,,,,,,1
Tenant Application Received,1,30,Male,"$1,500.00 ","$9,000.00 ",90008,0,1500,,,,,,1
Application on Hold,5,30,Male,"$1,500.00 ","$9,000.00 ",90003,0,1500,,,,,,1
Application on Hold,5,30,Female,"$1,500.00 ","$9,000.00 ",90006,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,500.00 ","$9,000.00 ",91605,0,1500,,,,,,1
Tenant Approved: Landlord Pending Final Submission of Documents,3,30,Female,"$1,500.00 ","$9,000.00 ",91343,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90008,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Application on Hold,1,30,Male,"$1,500.00 ","$9,000.00 ",91403,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,500.00 ","$9,000.00 ",90029,0,1500,,,,,,1
Application on Hold,4,30,Female,"$1,500.00 ","$9,000.00 ",90016,0,1500,,,,,,1
Application on Hold,1,30,Male,"$1,500.00 ","$9,000.00 ",90047,0,1500,,,,,,1
Tenant Approved: Landlord Pending Final Submission of Documents,5,30,Female,"$1,500.00 ","$9,000.00 ",90044,0,1500,,,,,,1
Closed Ineligible,1,30,Male,"$1,500.00 ","$9,000.00 ",90011,0,1500,,,,,,1
Closed Ineligible,2,30,Female,"$1,500.00 ","$9,000.00 ",93536,0,1500,,,,,,1
Tenant Approved: Landlord Pending Final Submission of Documents,8+,30,Female,"$1,500.00 ","$9,000.00 ",90011,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,500.00 ","$9,000.00 ",90043,0,1500,,,,,,1
Application on Hold,4,30,Female,"$1,500.00 ","$9,000.00 ",90501,0,1500,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Female,"$1,500.00 ","$9,000.00 ",90039,0,1500,,,,,,1
Tenant Pending Final Submission of Documents,5,30,Male,"$1,500.00 ","$9,000.00 ",90011,0,1500,,,,,,1
Application on Hold,1,30,Male,"$1,500.00 ","$9,000.00 ",90293,0,1500,,,,,,1
