Status,Family size,AMI,Race,Gender,Monthly Rent,Back Rent Claimed,zip,Council District
Tenant Application Received,2,30,Black,Female,$471.00,"$1,780.00",90037,9
Tenant Application Received,1,30,Hispanic,Female,"$1,595.00","$11,147.00",90057,13
Tenant Approved: Landlord Final Notification to Respond,4,30,Hispanic,Male,$700.00,"$4,200.00",91411,6
Tenant Pending Final Submission of Documents,1,30,Black,Male,$340.00,"$1,020.00",90017,1
Closed Ineligible,3,30,Hispanic,Male,"$2,640.00","$10,560.00",90715, 
Tenant Application Received,5,30,Other,Female,"$2,731.82","$21,854.56",90047,8
Tenant Pending Final Submission of Documents,6,30,Hispanic,Male,"$3,000.00","$9,997.00",90057,1
Tenant Eligibility Under Review,4,30,Hispanic,I prefer not to answer,"$3,000.00","$9,000.00",90032,14
Tenant Pending Final Submission of Documents,4,30,White,Female,"$1,200.00","$4,800.00",90062,8
Landlord Application Submitted Pending Tenant,, ,Other,,$0.00,$0.00,,
Tenant Application Received,1,30,Black,Female,"$3,250.00","$35,730.00",90062,8
Tenant Approved: Landlord Pending Final Submission of Documents,7,30,Hispanic,Female,"$1,150.00","$2,300.00",90004,13
Tenant Application Received,1,30,Black,Male,"$1,550.00","$20,600.00",90057,1
Tenant Application Received,1,30,Black,Female,"$2,155.00","$25,860.00",90062,8
Tenant Pending Final Submission of Documents,4,30,Hispanic,Male,"$2,480.00","$8,960.00",90029,13
Application on Hold,6,30,Hispanic,Female,"$3,700.00","$10,000.00",90003,9
Tenant Pending Final Submission of Documents,1,30,White,Male,"$3,100.00","$18,600.00",91040,7
Tenant Application Received,7,30,Hispanic,Female,$677.00,"$11,200.00",90006,1
Tenant Pending Final Submission of Documents,2,30,White,I prefer not to answer,"$4,400.00","$18,500.00",91311,12
Tenant Application Received,4,30,Asian,Female,"$2,163.00","$36,771.00",90036,5
Closed Ineligible,2,30,Other,Female,$925.00,"$5,550.00",90301, 
Tenant Application Received,1,30,Black,Male,"$1,791.00","$14,328.00",90012,1
Tenant Pending Final Submission of Documents,4,30,Other,Female,$960.00,"$5,760.00",91601,2
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,635.50","$1,635.00",90028,13
Application on Hold,1,30,White,Female,"$1,750.00","$10,500.00",90068,4
Tenant Application Received,1,30,Hispanic,Female,"$1,000.00","$10,000.00",91343,12
Application on Hold,1,30,White,Male,"$2,800.00","$22,400.00",91306,3
Closed Ineligible,3,30,White,Male,"$3,800.00","$22,800.00",90028,13
Tenant Application Received,3,30,Black,Female,"$2,250.00","$15,750.00",90033,14
Application on Hold,2,30,Black,Female,"$1,300.00","$16,000.00",90003,8
Tenant Pending Final Submission of Documents,3,30,Black,Male,"$1,500.00","$1,500.00",90057,1
Tenant Approved: Landlord Final Notification to Respond,2,30,Black,Female,"$2,895.00","$17,370.00",90025,11
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,"$1,514.00","$2,277.88",91335,3
Closed Ineligible,1,30,White,Male,"$2,400.00","$31,200.00",93550, 
Tenant Pending Final Submission of Documents,5,30,Hispanic,Female,"$1,525.00","$3,050.00",91304,3
Tenant Application Received,3,30,Black,Male,$700.00,"$9,889.26",90062,8
Tenant Application Received,3,30,White,Male,"$4,850.00","$53,350.00",91335,3
Closed Ineligible,1,30,Other,Female,"$2,625.09","$16,374.68",90212, 
Tenant Pending Final Submission of Documents,2,30,Other,Male,"$1,182.00","$5,910.00",90038,13
Tenant Application Received,1,30,Black,Male,"$2,500.00","$25,000.00",90043,8
Application on Hold,1,30,Black,Male,"$2,500.00","$15,000.00",90003,8
Tenant Application Received,1,30,White,Male,"$1,201.61","$12,016.10",90057,1
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,700.00","$3,700.00",91606,2
Tenant Approved: Closed Landlord Paid,2,30,Hispanic,Female,"$1,360.00","$1,310.00",90044,8
Tenant Pending Final Submission of Documents,4,30,Hispanic,Male,"$2,315.00","$1,340.28",91343,6
Tenant Application Received,2,30,White,Female,"$1,289.00","$15,922.34",90731,15
Tenant Application Received,2,30,Hispanic,Female,$900.00,"$9,900.00",90062,8
Tenant Application Received,2,30,White,Female,"$3,000.00","$30,000.00",91042,7
Tenant Approved: Landlord Pending Initial Submission of Documents,3,30,Black,Female,"$1,521.00","$4,062.00",91335,4
Closed Ineligible,2,30,Hispanic,Female,"$1,450.00","$2,900.00",90059, 
Tenant Application Received,3,30,Black,Male,"$1,707.68","$15,369.12",90019,5
Tenant Application Received,3,30,White,Female,"$2,700.00","$34,000.00",91042,7
Tenant Application Received,1,30,White,Male,"$1,995.00","$15,960.00",91311,12
Tenant Approved: Landlord Pending Initial Submission of Documents,5,30,Hispanic,Female,"$1,200.00","$3,600.00",90011,9
Tenant Application Received,2,30,Hispanic,Female,$858.00,"$6,006.00",90017,1
Application on Hold,1,30,Other,Female,"$1,209.00","$1,220.00",90016,10
Tenant Approved: Closed Landlord Paid,1,30,White,Male,"$1,323.92","$2,324.59",91606,2
Tenant Application Received,3,30,Black,Female,"$2,945.00","$20,625.00",90026,1
Tenant Application Received,1,30,Hispanic,Male,"$2,330.00","$41,940.00",90014,14
Tenant Application Received,1,30,Black,Female,"$1,923.00","$18,524.00",91311,12
Tenant Application Received,3,30,Other,Female,"$1,695.00","$23,730.00",90004,13
Tenant Application Received,4,30,Black,Female,"$1,900.00","$17,100.00",90044,8
Tenant Application Received,2,30,Asian,Male,"$1,940.00","$12,180.00",90013,14
Tenant Application Received,1,30,White,Female,"$2,400.00","$24,000.00",90027,4
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,$534.00,"$1,602.00",90028,13
Tenant Application Received,1,30,White,Female,"$2,800.00","$19,600.00",90047,8
Manager Approval Required,1,30,Black,Male,$575.00,"$3,450.00",90003,8
Tenant Approved: Pending Payment to the Landlord,4,30,White,Female,"$1,636.00","$4,930.22",91402,6
Application on Hold,2,30,Hispanic,Male,"$1,950.00","$1,950.00",91602,2
Tenant Application Received,1,30,Hispanic,Female,"$1,650.00","$26,250.00",90004,13
Tenant Application Received,1,30,Asian,Female,"$1,290.00","$10,320.00",90006,1
Tenant Pending Final Submission of Documents,1,30,Asian,Male,"$2,750.00","$11,000.00",90011,9
Closed Ineligible,2,30,Hispanic,Female,"$1,400.00","$1,489.75",,
Application on Hold,4,30,White,Female,"$4,200.00","$33,600.00",91344,12
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,"$1,505.00","$1,505.00",90731-5337,15
Landlord Application Submitted Pending Tenant,, ,Other,,$0.00,$0.00,,
Tenant Pending Final Submission of Documents,1,30,Hispanic,Male,"$1,000.00","$6,000.00",90039,13
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$2,000.00","$10,200.00",90008,10
Tenant Approved: Closed Landlord Paid,1,30,Black,Female,"$1,150.22","$6,901.32",90057,1
Closed Ineligible,1,30,Black,Male,"$1,287.00","$6,435.00",90056, 
Tenant Application Received,5,30,White,Female,"$4,795.00","$81,910.00",90035,5
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,500.00","$1,500.00",90003,9
Tenant Approved: Closed Landlord Paid,1,30,White,Female,"$1,205.00","$2,340.00",90006,1
Tenant Approved: Landlord Pending Final Submission of Documents,4,30,Hispanic,Female,"$1,300.00","$2,600.00",90037,8
Tenant Application Received,2,30,Hispanic,Male,"$1,658.00","$11,781.00",91331,7
Tenant Application Received,1,30,Hispanic,Female,"$1,500.00","$10,500.00",90006,1
Tenant Pending Final Submission of Documents,1,30,White,Female,"$1,450.00","$7,150.00",90042,1
Closed Ineligible,5,30,Hispanic,Male,"$1,928.00","$7,712.00",90063, 
Manager Approval Required,2,30,White,Male,"$3,700.00","$20,500.00",90027,4
Tenant Pending Final Submission of Documents,1,30,Hispanic,Male,"$1,251.00","$3,753.00",90013,14
Tenant Pending Final Submission of Documents,1,30,Hispanic,Male,"$2,280.00","$4,560.00",90017,14
Landlord Application Submitted Pending Tenant,, ,Other,,$0.00,$0.00,,
Tenant Pending Final Submission of Documents,1,30,Black,Female,$828.00,"$4,968.00",90037,9
Tenant Application Received,5,30,White,Female,"$3,430.00","$99,470.00",90014,14
Tenant Application Received,1,30,White,Male,"$2,298.61","$29,881.93",91316,4
Tenant Application Received,2,30,Black,Male,"$1,208.90","$13,289.65",90004,13
Tenant Approved: Closed Landlord Paid,1,30,Black,Female,"$2,505.00","$5,010.00",90731,15
Tenant Approved: Landlord Pending Initial Submission of Documents,4,30,Asian,Female,"$1,572.00","$7,888.00",90017,1
Tenant Application Received,2,50,White,Female,"$1,850.00","$18,500.00",91042,7
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,"$1,650.00","$9,900.00",90065,13
Tenant Application Received,1,30,Black,Male,"$5,700.00","$45,900.00",90047,8
Tenant Approved: Landlord Pending Final Submission of Documents,3,30,Asian,Male,"$2,000.00","$2,000.00",90005,10
Tenant Application Received,3,30,Hispanic,Female,"$1,700.00","$32,300.00",91342,7
Tenant Application Received,1,30,Other,Male,"$2,467.61","$14,773.27",90066,11
Tenant Application Received,1,30,Black,Male,"$1,025.00","$7,175.00",90038,13
Application on Hold,2,30,Asian,Male,"$4,795.00","$4,795.00",90048,5
Application on Hold,1,30,Black,Male,"$1,200.00","$9,600.00",90062,8
Tenant Pending Final Submission of Documents,1,30,Other,Gender Non-Confirming,"$3,600.00","$18,000.00",91352,6
Tenant Application Received,5,30,Hispanic,Female,"$1,000.00","$9,000.00",91042,7
Tenant Approved: Landlord Pending Final Submission of Documents,3,30,Black,Female,$721.00,"$2,163.00",90006,1
Tenant Pending Final Submission of Documents,1,30,Hispanic,Male,"$1,430.00","$2,860.00",90006,1
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,"$1,500.00","$1,500.00",91411,6
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$2,456.00","$7,368.00",91324,12
Tenant Application Received,6,30,Hispanic,Female,"$3,600.00","$25,200.00",90011,9
Closed Ineligible,3,30,Black,Female,"$2,595.44","$2,595.44",91605,2
Tenant Application Received,3,30,Black,Female,$995.00,"$8,955.00",90003,9
Tenant Approved: Closed Landlord Paid,1,30,White,Male,"$2,791.42","$9,740.10",90046,4
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,144.00","$6,864.00",90011,9
Tenant Application Received,1,30,Black,Female,"$2,482.00","$24,820.00",90017,1
Tenant Application Received,1,30,White,Male,"$1,537.76","$16,915.36",90046,13
Tenant Approved: Landlord Eligibility Under Review,1,30,Hispanic,Female,$788.00,"$4,548.00",90037,9
Closed Ineligible,3,30,White,Female,"$3,900.00","$23,400.00",90068,4
Manager Approval Required,1,30,White,Female,"$2,100.00","$12,600.00",90077,5
Tenant Application Received,3,30,Black,Female,"$3,200.00","$28,800.00",90016,10
Tenant Pending Initial Submission of Documents,3,50,Black,Female,"$1,100.00","$6,600.00",90043,8
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,"$2,000.00","$2,000.00",91342,7
Manager Approval Required,1,30,White,Male,"$2,300.00","$13,800.00",91606,2
Tenant Approved: Landlord Final Notification to Respond,1,30,Hispanic,Male,"$1,075.00","$6,450.00",90023,14
Tenant Application Received,3,30,Other,Female,"$1,400.00","$9,800.00",91405,2
Tenant Application Received,1,30,Asian,Male,"$4,200.00","$78,346.00",90015,14
Application on Hold,2,30,White,Female,"$3,400.00","$20,400.00",90027,4
Tenant Application Received,1,30,Hispanic,Male,"$1,500.00","$9,000.00",91402,6
Closed Ineligible,3,50,Hispanic,Female,"$1,800.00","$12,600.00",90063, 
Tenant Application Received,2,30,Black,Male,"$1,583.00","$31,662.00",91303,3
Tenant Approved: Closed Landlord Paid,4,30,White,Female,"$1,674.84","$2,569.76",91316,4
Tenant Pending Final Submission of Documents,5,30,Other,Male,"$2,200.00","$9,150.00",91352,2
Closed Ineligible,1,30,Hispanic,Female,$800.00,"$4,000.00",90059, 
Tenant Approved: Landlord Eligibility Under Review,1,30,Hispanic,Female,$855.00,"$5,130.00",90744,15
Closed Ineligible,1,30,Black,Female,"$4,022.00","$20,193.27",91367,3
Tenant Application Received,1,30,White,Male,"$3,300.00","$26,100.00",91402,6
Tenant Application Received,4,30,Hispanic,Male,"$1,500.00","$12,000.00",91364,3
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,"$2,650.00","$2,650.00",90046,4
Tenant Approved: Closed Landlord Paid,2,30,Hispanic,Female,$728.00,"$2,184.00",90028,13
Tenant Approved: Closed Landlord Paid,1,30,Asian,Male,"$1,387.00","$2,387.22",90004,10
Tenant Pending Final Submission of Documents,5,30,Other,Female,"$2,725.00","$7,175.00",90044,8
Tenant Application Received,1,30,Hispanic,Female,"$1,329.00","$55,682.00",90006,1
Tenant Eligibility Under Review,3,30,Hispanic,Female,"$1,540.00","$4,977.62",90023,14
Tenant Application Received,7,30,Hispanic,Male,"$1,680.00","$18,480.00",90018,10
Tenant Application Received,3,30,Black,Male,"$3,000.00","$24,000.00",90043,8
Tenant Application Received,2,30,Hispanic,Female,$800.00,"$4,400.00",91325,12
Closed Ineligible,1,30,Black,Female,"$1,174.00","$4,696.00",90018,10
Application on Hold,1,30,White,Male,"$3,800.00","$22,800.00",91403,4
Application on Hold,5,30,White,Female,"$3,500.00","$21,000.00",91345,7
Tenant Application Received,1,30,Asian,Female,$887.00,"$9,757.00",90027,13
Tenant Application Received,1,30,White,Male,"$1,900.00","$20,450.00",90027,13
Application on Hold,2,30,Hispanic,Female,"$1,390.00","$1,390.00",91604,4
Tenant Approved: Landlord Eligibility Under Review,3,30,Hispanic,Female,"$1,900.00","$11,400.00",91352,6
Tenant Application Received,1,30,White,Male,"$1,813.00","$32,870.00",90015,14
Tenant Application Received,1,30,White,Female,"$1,576.50","$20,494.50",91042,7
Tenant Pending Initial Submission of Documents,1,50,White,Male,"$2,000.00","$11,600.00",91606,2
Tenant Application Received,1,30,Hispanic,Male,"$1,850.00","$23,100.00",90002,15
Tenant Approved: Landlord Pending Final Submission of Documents,1,30,White,Female,"$1,490.00","$5,449.00",91423,4
Tenant Application Received,1,30,White,Female,"$2,570.00","$20,560.00",91042,7
Tenant Application Received,1,30,White,Male,"$2,000.00","$22,000.00",91344,12
Tenant Application Received,3,30,Hispanic,Male,"$1,300.00","$31,200.00",90011,9
Tenant Approved: Landlord Eligibility Under Review,1,30,Other,Male,"$1,034.00","$1,277.42",90043,8
Application on Hold,2,30,Hispanic,Male,"$1,778.00","$12,936.00",90731,15
Tenant Application Received,1,30,Black,Female,$950.00,"$6,200.00",90018,8
Tenant Pending Final Submission of Documents,4,30,Other,Male,"$2,200.00","$4,000.00",91423,4
Tenant Approved: Closed Landlord Paid,1,30,Black,Male,"$1,127.12","$3,381.36",90068,4
Closed Ineligible,1,30,Black,Female,$950.00,"$7,800.00",90250, 
Closed Ineligible,4,30,Hispanic,Female,"$1,700.00","$3,105.00",90602, 
Tenant Application Received,2,30,Other,Female,"$1,650.00","$16,500.00",90006,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Black,Female,"$1,252.83","$1,938.04",90004,10
Application on Hold,2,30,Asian,Female,"$1,077.00","$3,692.02",90007,9
Tenant Application Received,2,30,White,Male,"$1,272.44","$15,705.57",91405,6
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,700.00","$3,400.00",91402,6
Tenant Approved: Landlord Final Notification to Respond,3,30,White,Female,"$1,300.00","$7,800.00",91304,12
Tenant Application Received,4,30,Other,I prefer not to answer,"$2,543.00","$14,663.03",90028,13
Tenant Pending Final Submission of Documents,2,30,Black,Female,"$2,000.00","$7,000.00",90059,15
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,300.00","$7,800.00",90003,9
Tenant Pending Initial Submission of Documents,3,50,Other,Female,"$3,800.00","$23,850.00",90047,8
Tenant Application Received,2,30,Hispanic,Female,"$1,995.00","$7,286.64",91325,12
Tenant Application Received,1,30,White,Female,"$2,000.00","$84,000.00",91606,2
Tenant Application Received,3,30,Black,Female,"$1,058.00","$8,822.00",90018,10
Tenant Approved: Landlord Eligibility Under Review,3,30,Hispanic,Female,"$1,755.00","$1,755.00",90003,8
Tenant Application Received,3,30,Other,Male,"$2,758.00","$41,428.00",91604,4
Tenant Application Received,4,30,Hispanic,Female,"$1,300.00","$6,500.00",90017, 
Closed Ineligible,4,30,Other,Female,"$2,360.00","$4,735.00",90066, 
Tenant Application Received,2,30,Other,Male,"$2,400.00","$25,700.00",90027,4
Tenant Approved: Landlord Final Notification to Respond,3,30,Black,Female,"$1,160.00","$6,960.00",90037,9
Tenant Application Received,1,30,Black,Female,"$1,815.00","$50,821.00",90044,9
Application on Hold,1,30,White,Male,"$1,390.00","$7,872.00",91311,12
Tenant Application Received,1,30,Black,Male,"$1,292.00","$11,628.00",90017,1
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,"$2,880.11","$2,880.11",90038,13
Application on Hold,2,30,Hispanic,Female,"$1,798.61","$8,591.88",91423,4
Closed Ineligible,5,30,Hispanic,Female,"$1,663.00","$18,293.00",90022, 
Tenant Pending Final Submission of Documents,6,30,Hispanic,Female,"$1,895.00","$2,150.00",90003,8
Tenant Application Received,1,30,Black,Male,"$2,349.00","$33,821.00",90017,14
Tenant Application Received,2,30,Black,Female,"$1,700.00","$23,856.00",90007,9
Tenant Application Received,1,50,Black,Male,"$1,295.00","$8,270.00",90017,1
Tenant Application Received,1,30,Black,Female,"$2,700.00","$60,400.00",90016,10
Tenant Pending Final Submission of Documents,5,30,Hispanic,Male,"$1,825.00","$5,475.00",90003,9
Application on Hold,3,30,White,Female,"$2,500.00","$7,500.00",91356,3
Tenant Approved: Landlord Eligibility Under Review,1,30,Black,Gender Non-Confirming,"$1,837.00","$7,348.00",90014,14
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$1,290.00","$3,870.00",90018,10
Closed Ineligible,2,30,Hispanic,Female,"$1,100.00","$6,600.00",91801, 
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Black,Female,"$1,895.00","$1,950.00",90066,11
Tenant Approved: Closed Landlord Paid,5,30,Hispanic,Male,"$2,400.00","$1,460.00",91343,7
Manager Approval Required,1,30,White,Male,"$2,300.00","$13,800.00",90028,13
Tenant Pending Final Submission of Documents,3,30,Black,Female,"$1,800.00","$10,800.00",90037,9
Closed Ineligible,4,30,Hispanic,Female,"$1,275.00","$5,975.00",91205, 
Closed Ineligible,1,80,White,Female,"$2,500.00","$10,000.00",90048, 
Tenant Application Received,3,30,Hispanic,Female,"$1,595.00","$33,495.00",90023,14
Tenant Pending Final Submission of Documents,1,30,Other,Female,$886.00,"$3,544.00",90027,4
Tenant Application Received,1,30,White,Male,"$2,825.00","$24,075.00",90014,14
Tenant Approved: Tenant & Landlord Under Review,2,30,Hispanic,Female,$819.00,"$3,276.00",90740,15
Tenant Application Received,1,30,Hispanic,Male,"$1,800.00","$12,600.00",90731,15
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$1,200.00","$3,600.00",90028,13
Closed Ineligible,1,30,Other,Female,"$1,200.00","$13,200.00",90044, 
Tenant Application Received,1,30,Black,Male,"$1,139.00","$12,529.00",91343,6
Tenant Application Received,1,30,Black,Male,"$2,384.00","$47,981.00",90017,1
Application on Hold,2,30,Black,Female,"$1,864.00","$2,036.00",90042,14
Closed Ineligible,5,50,Black,Female,"$3,850.00","$7,700.00",90061, 
Tenant Application Received,1,30,White,Female,"$2,500.00","$42,500.00",91406,6
Application on Hold,2,30,Hispanic,Female,$806.00,"$1,612.00",90006-5026,1
Closed Ineligible,, ,Other,,$0.00,$0.00,,
Tenant Approved: Landlord Pending Final Submission of Documents,1,30,Other,I prefer not to answer,$888.21,"$2,621.31",90005,10
Tenant Approved: Closed Landlord Paid,2,30,Black,Female,"$1,880.00","$5,640.00",90013,14
Tenant Application Received,1,30,Black,Gender Non-Confirming,"$1,800.00","$16,200.00",90037,9
Closed Ineligible,1,30,Other,I prefer not to answer,"$1,975.00","$1,880.00",90405, 
Closed Ineligible,1,30,Hispanic,Male,$717.00,"$2,308.96",99810, 
Tenant Application Received,2,30,Black,Female,"$1,267.00","$11,403.00",90003,8
Closed Ineligible,1,30,Black,Male,"$2,375.00","$13,750.00",90003,8
Tenant Application Received,2,30,Other,Male,"$1,669.44","$11,413.55",90028,13
Application on Hold,1,30,Black,Female,"$2,170.00","$10,850.00",90047,8
Tenant Application Received,2,30,White,Female,"$1,500.00","$14,500.00",91335,4
Application on Hold,1,30,Black,Male,"$2,300.00","$13,800.00",90047,8
Tenant Application Received,1,30,Hispanic,Female,$650.00,"$11,050.00",90033,14
Closed Ineligible,1,30,Hispanic,Female,"$2,295.00","$6,632.00",90048,5
Application on Hold,1,30,Black,Male,"$1,000.00","$4,000.00",90059,15
Tenant Application Received,1,30,White,Female,"$4,500.00","$69,500.00",90036,5
Closed Ineligible,2,30,White,Male,$500.00,"$1,750.00",91325,12
Tenant Application Received,1,30,White,Male,"$2,380.00","$41,273.14",90013,14
Tenant Application Received,4,30,White,Female,"$3,313.00","$39,756.00",90036,5
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,595.00","$1,900.00",90065,13
Closed Ineligible,2,30,Black,Female,"$2,350.00","$8,600.00",93535, 
Tenant Application Received,4,30,Black,Female,"$1,350.00","$9,450.00",90047,8
Tenant Application Received,3,30,Black,Female,"$2,700.00","$21,600.00",90044,8
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,638.00","$5,186.44",90033,14
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$4,950.00","$19,800.00",90031,13
Tenant Approved: Closed Landlord Paid,2,30,Other,Male,"$2,050.00","$8,200.00",91335,3
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$2,258.00","$7,534.00",91352,6
Tenant Application Received,1,30,White,Male,"$3,650.00","$25,550.00",91605,2
Tenant Pending Initial Submission of Documents,3,30,Asian,Gender Non-Confirming,"$3,100.00","$18,699.00",90015,14
Tenant Application Received,1,30,White,Female,"$2,588.59","$15,991.64",91401,4
Application on Hold,4,30,Other,Female,"$1,990.00","$2,681.80",90015,14
Manager Approval Required,4,30,Black,Female,"$2,860.00","$17,160.00",90008,10
Closed Ineligible,1,30,Hispanic,Female,"$1,800.00","$21,800.00",90305, 
Application on Hold,3,30,Hispanic,Female,"$1,238.00","$4,952.00",90032,14
Tenant Application Received,1,30,Black,Female,$900.00,"$19,800.00",90062,8
Tenant Application Received,1,30,Hispanic,Male,"$5,500.00","$181,650.00",90036,5
Application on Hold,1,30,White,Female,"$4,753.00","$10,332.32",90015,14
Closed Ineligible,4,30,Hispanic,Female,"$1,700.00","$1,700.00",90717, 
Tenant Application Received,1,30,White,Female,"$1,995.00","$29,925.00",90046,4
Manager Approval Required,1,30,Asian,Male,"$4,800.00","$28,800.00",91325,12
Tenant Application Received,3,30,Black,Female,$636.00,"$7,632.00",90247,15
Tenant Approved: Landlord Eligibility Under Review,1,30,Hispanic,Male,"$1,798.00","$9,714.00",90057,1
Tenant Approved: Closed Landlord Paid,3,30,Hispanic,Female,"$2,295.00","$3,828.49",90024,5
Tenant Approved: Landlord Pending Initial Submission of Documents,4,30,Black,Female,$939.00,"$4,634.00",90037,9
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,"$1,100.00","$5,500.00",90034,10
Tenant Application Received,2,30,Other,Gender Non-Confirming,"$1,525.14","$25,925.28",90026,1
Tenant Application Received,2,30,Black,Female,"$1,350.00","$13,500.00",90002,15
Tenant Approved: Landlord Eligibility Under Review,2,30,Other,Female,"$2,468.61","$2,468.61",90028,13
Tenant Application Received,4,30,Asian,Female,"$1,357.50","$24,890.66",90026,1
Tenant Pending Final Submission of Documents,5,30,Hispanic,Female,"$2,385.23","$4,561.44",91344,12
Closed Ineligible,1,30,White,Male,"$1,266.49","$3,598.94",90046, 
Application on Hold,4,30,Other,Female,"$2,095.00","$11,966.34",91405,6
Tenant Application Received,2,30,Hispanic,Female,"$1,912.00","$19,855.00",90034,5
Tenant Application Received,2,30,Asian,Male,"$3,000.00","$72,000.00",90057,1
Tenant Approved: Landlord Final Notification to Respond,2,30,Hispanic,Female,"$1,141.00","$1,226.26",90029,13
Closed Ineligible,3,30,Black,Male,"$2,432.00","$6,072.30",91303,3
Tenant Pending Final Submission of Documents,2,30,White,Male,"$2,700.00","$15,500.00",90037,9
Closed Ineligible,1,30,Other,Female,$464.00,$934.00,90017,1
Tenant Application Received,2,30,Other,Male,"$2,695.00","$37,730.00",91304,12
Application on Hold,2,30,Other,Female,"$2,000.00","$26,400.00",90012, 
Tenant Application Received,1,30,White,Female,"$3,500.00","$24,500.00",91601,2
Tenant Application Received,1,30,Black,Male,"$1,695.00","$34,462.47",90020,10
Tenant Application Received,1,30,Hispanic,Male,$871.62,"$8,716.20",90011,9
Application on Hold,4,30,Hispanic,Female,"$1,995.00","$1,000.00",90047,8
Tenant Application Received,6,30,Hispanic,Male,"$1,200.00","$10,800.00",91331,7
Tenant Application Received,1,30,Black,Male,"$1,395.95","$13,959.00",91401,6
Tenant Pending Final Submission of Documents,1,30,White,Male,"$4,200.00","$37,800.00",90068,4
Tenant Application Received,2,30,Black,Female,"$1,702.00","$15,318.00",90094,11
Tenant Approved: Landlord Pending Initial Submission of Documents,4,30,Black,Female,"$1,650.00","$2,200.00",90061,15
Tenant Application Received,3,30,Other,Male,"$3,200.00","$68,800.00",90027,4
Closed Ineligible,2,30,Black,Female,"$1,150.00","$6,600.00",90061, 
Tenant Approved: Landlord Eligibility Under Review,1,30,Other,Male,$810.00,$810.00,90015,14
Tenant Approved: Landlord Final Notification to Respond,4,30,Hispanic,Female,$756.00,"$1,684.00",91342,7
Application on Hold,3,30,Other,Male,$840.00,"$3,840.00",90004,13
Tenant Pending Final Submission of Documents,1,30,White,Female,$600.00,"$3,600.00",91607,2
Tenant Application Received,1,30,White,Female,"$2,100.00","$14,700.00",91436,4
Tenant Application Received,1,30,Other,Male,"$1,263.00","$9,975.21",91405,6
Tenant Application Received,2,30,Black,Male,"$2,685.00","$24,165.00",90004,13
Application on Hold,2,30,White,Female,"$2,800.00","$2,102.28",90010,13
Tenant Application Received,2,30,Black,Male,"$2,048.00","$22,528.00",91364,3
Closed Ineligible,2,30,Hispanic,Female,"$1,500.00","$16,500.00",90023, 
Closed Ineligible,2,30,Hispanic,Male,"$1,450.00","$11,600.00",90602, 
Closed Ineligible,3,50,Black,Female,"$4,800.00","$11,100.00",90056, 
Tenant Application Received,2,30,White,Male,"$5,000.00","$35,000.00",91405,2
Tenant Approved: Landlord Final Notification to Respond,5,30,Hispanic,Female,"$1,778.00","$3,960.00",91352,6
Tenant Application Received,1,30,Black,Male,$900.00,"$9,450.00",90044,8
Closed Ineligible,3,30,White,Female,"$2,033.00","$12,198.00",90027,4
Closed Ineligible,4,30,Black,Female,"$1,735.00","$7,143.00",90019,5
Closed Ineligible,3,30,Black,Female,"$1,500.00","$9,500.00",90746, 
Tenant Approved: Tenant & Landlord Under Review,3,30,Hispanic,Female,"$1,700.00","$6,800.00",90057,13
Tenant Approved: Tenant & Landlord Under Review,1,30,Black,Female,"$2,820.00","$9,060.00",90014,14
Closed Ineligible,2,30,Hispanic,Female,"$1,400.00","$4,200.00",91606,2
Tenant Pending Final Submission of Documents,5,30,White,Male,"$4,250.00","$12,750.00",91306,3
Tenant Approved: Landlord Eligibility Under Review,1,30,Hispanic,Female,"$1,900.00","$1,900.00",90038,13
Closed Ineligible,4,30,Hispanic,Male,"$2,010.00","$2,010.00",91601,2
Tenant Application Received,5,30,Hispanic,Male,"$1,331.58","$8,907.98",90033,14
Closed Ineligible,2,30,Hispanic,Female,"$1,500.00","$1,500.00",90806, 
Tenant Approved: Landlord Final Notification to Respond,4,30,Black,Female,"$1,700.00","$10,200.00",90003,8
